,alim_grp_code,alim_ssgrp_code,alim_ssssgrp_code,alim_grp_nom_fr,alim_ssgrp_nom_fr,alim_code,alim_nom_fr,alim_nom_en,Energie (kcal/100 g),Eau (g/100 g),Protéines (g/100 g),Glucides (g/100 g),Lipides (g/100 g),Sucres (g/100 g),Cholestérol (mg/100 g),Sel chlorure de sodium (g/100 g),Calcium (mg/100 g),Fer (mg/100 g),Magnésium (mg/100 g),Vitamine D (µg/100 g),Vitamine C (mg/100 g),Vitamine B9 ou Folates totaux (µg/100 g),Vitamine B12 (µg/100 g)
1100,3,305,30501,,,9415,Farine de blé tendre ou froment T150,Soft wheat flour or wheat T150,339,"10,7","11,4","64,9","1,52","1,77",-,"0,035","31,9","2,7","85,1",-,0.25,"52,4",-
1101,3,305,30501,,,9435,Farine de blé tendre ou froment T65,Soft wheat flour or wheat T65,341,"13,2","13,6","67,6",1,"1,5",-,"0,03","25,3","1,31","30,4",-,-,"18,3",-
1102,3,305,30501,,,9436,Farine de blé tendre ou froment T55 (pour pains),Soft wheat flour or wheat T55 (for bread),346,"12,5","9,03","73,7",1,"1,5",0,0.065,23,1,27,0.125,0.25,"15,4",0
1103,3,305,30501,,,9437,Farine de blé tendre ou froment avec levure incorporée,Soft wheat flour or wheat with added yeast,346,-,"9,12",74,1,"2,5",-,-,-,-,-,-,-,-,-
1104,3,305,30501,,,9440,Farine de blé tendre ou froment T45 (pour pâtisserie),Soft wheat flour or wheat T45 (for pastry),352,"11,3","9,06","75,9","0,82","0,41",0,"0,098","17,4","1,18",25,0,0,18,0
1105,3,305,30501,,,9445,Farine de blé tendre ou froment T80,Soft wheat flour or wheat T80,352,"10,7","9,95","73,2","1,18","1,77",-,-,"25,4","1,5","45,6",-,0.25,"53,8",-
1106,3,305,30501,,,9480,Farine d'épeautre (grand épeautre),Spelt flour (hulled spelt),347,"10,8","11,4",64,3,"1,3",-,0.065,31,3,92,0.125,0.25,"59,3",-
1107,3,305,30501,,,9510,Amidon de maïs ou fécule de maïs,Corn starch,362,"9,26","0,43","89,2","0,25",0,0,"0,019",6,"0,38","3,5",0,0,1,0
1108,3,305,30501,,,9520,Farine de riz,Rice flour,355,"11,4","7,62","73,9","2,5","0,9",0,0.065,"9,5","0,79",110,0.125,0.25,"25,1",0
1109,3,305,30501,,,9530,Farine de seigle T170,Rye flour T170,311,"10,8","15,9","44,8","2,22","2,31",0,"0,005",37,"4,97",160,0,0,33,0
1110,3,305,30501,,,9532,Farine de seigle T85,Rye flour T85,342,12,"8,12","70,7","1,37","0,93",0,"0,0051","15,5",1,29,0,0,23,0
1111,3,305,30501,,,9533,Farine de seigle T130,Rye flour T130,341,"9,9","7,24","70,9","1,12","1,1",0,"0,0061","23,8","1,8","64,6",0,0.25,"50,3",0
1112,3,305,30501,,,9540,Farine de sarrasin,Buckwheat flour,348,"12,1","11,5","68,4","2,19","0,03",0,"0,042","23,8","2,5",157,0,0.25,"66,8",0
1113,3,305,30501,,,9545,Farine de maïs,Corn flour,361,"10,5","6,23","78,1","2,1","0,64",0,"0,0025",4,"1,01","32,5",0,0,34,0
1114,3,305,30501,,,9550,Farine d'orge,Barley flour,336,"13,1","9,91","64,5","2,3","0,8",0,"0,0081","27,5","3,59","92,5",0,0,8,0
1115,3,305,30501,,,9555,Farine de millet,Millet flour,350,"10,3","10,2","63,2","4,1","0,5",-,0.065,12,"3,8",140,0.125,0.25,"54,5",-
1116,3,305,30501,,,9580,Farine de pois chiche,Chickpea flour,359,"10,3","22,4",47,"6,69","10,9",0,"0,16",45,"4,86",166,0,0,437,0
1117,3,305,30501,,,20900,Farine de soja,Soy flour,446,"5,13","35,8","22,9","21,4","7,5",0,"0,019",178,"5,19",335,0,0,573,0
1118,3,305,30501,,,96781,Amidon de riz,Rice starch,342,"14,2","0,6",85,0,-,-,-,-,-,-,0,-,-,-
1119,3,305,30502,,,23402,"Pâte à pizza fine, crue","Thin pizza dough, raw",276,"36,2","7,71","44,6","7,01","2,21",-,"1,89",-,-,-,-,-,-,-
1120,3,305,30502,,,23410,"Pâte brisée, crue","Shortcrust pastry, raw",375,"28,6","5,35","43,6","19,5","3,77",-,"1,06",-,-,-,-,-,-,-
1121,3,305,30502,,,23412,"Pâte brisée, matière grasse végétale, cuite","Shortcrust pastry, vegetable fat, baked",503,"4,9","7,47","58,3","26,4",-,"0,5","1,73","16,5",0.5,"12,8",0.1,0,8,"0,03"
1122,3,305,30502,,,23414,"Pâte brisée, pur beurre, crue","Shortcrust pastry, pure butter, raw",381,-,"5,77","44,9","19,5","3,23",-,"1,49",-,-,-,-,-,-,-
1123,3,305,30502,,,23415,"Pâte brisée, pur beurre, surgelée, crue","Shortcrust pastry, pure butter, frozen, raw",385,-,"5,65","43,3","20,7","7,55",-,"0,83",-,-,-,-,-,-,-
1124,3,305,30502,,,23416,"Pâte brisée, pur beurre, cuite","Shortcrust pastry, pure butter, baked",494,"3,9","7,58","61,1","23,9","3,22",-,"1,25",17,"0,68",12,0.125,0.25,"17,9",-
1125,3,305,30502,,,23420,"Pâte feuilletée, matière grasse végétale, crue","Puff pastry, vegetable fat, raw",375,"29,5","5,41","41,4","20,4","2,31",15,"1,15",84,"1,3",-,"1,76",0,7,-
1126,3,305,30502,,,23421,"Pâte feuilletée, surgelée, crue","Frozen, raw puff pastry",399,"31,8","3,28","33,3","27,4","1,7",-,"1,12",-,-,-,-,-,-,-
1127,3,305,30502,,,23422,"Pâte feuilletée, cuite","Puff pastry, baked",528,"3,94","7,19","54,1",31,"0,3","4,7","1,57","18,6","0,6","11,9",-,0.25,"0,8",-
1128,3,305,30502,,,23424,"Pâte feuilletée pur beurre, crue","Butter puff pastry, raw",366,"30,9","5,6","39,7","20,1","3,03",-,"1,37",-,-,-,-,-,-,-
1129,3,305,30502,,,23425,"Pâte feuilletée pur beurre, surgelée crue","Butter puff pastry, frozen raw",396,-,"4,99","35,3","25,8","1,33",-,"0,86",-,-,-,-,-,-,-
1130,3,305,30502,,,23426,"Pâte feuilletée pur beurre, cuite","Butter puff pastry, baked",507,"7,15","4,61",57,"28,7","1,05",-,"1,03",-,-,-,-,-,-,-
1131,3,305,30502,,,23430,"Feuille de brick, cuite à sec sans matière grasse","Brick pastry, cooked dry without fat",376,"2,3","6,16","82,4","1,76",-,-,-,110,"1,1","23,7",-,-,"12,4",-
1132,3,305,30502,,,23440,"Pâte sablée, crue","Shortcrust pastry, raw",404,-,"5,3",51,"19,6",13,-,"0,25",-,-,-,-,-,-,-
1133,3,305,30502,,,23442,"Pâte sablée, cuite","Shortcrust pastry, baked",505,"3,4","5,7","64,4","24,6","22,9","1,37","0,27",11,"0,27","7,3",0.125,0.25,"81,6",0.005
1134,3,305,30502,,,23444,"Pâte sablée pur beurre, crue","Shortcrust pastry made with pure butter, raw",383,-,"5,95","53,6","15,8","13,4",-,"0,029",-,-,-,-,-,-,-
1135,3,305,30502,,,23445,"Pâte phyllo ou Pâte filo, crue","Phyllo dough, raw",289,"32,6","7,1","50,8",6,"0,18",0,"1,21",11,"3,21",15,0,0,18,0
1136,3,305,30502,,,23446,"Pâte sablée pur beurre, surgelée, crue","Pure butter shortcrust pastry, frozen, raw",423,-,"4,9","60,9","17,5","21,3",-,"0,17",-,-,-,-,-,-,-
1137,3,305,30502,,,23448,"Pâte sablée pur beurre, cuite","Shortcrust pastry made with butter, baked",469,"7,2","6,2",63,"20,9","20,1","91,5","0,47",20,"0,68",18,0.125,0.25,99,"0,096"
1138,3,305,30502,,,37001,Pâte à pizza crue,Raw pizza dough,240,-,"7,05","44,2","3,45","1,4",-,"1,31",-,-,-,-,-,-,-
1139,3,305,30502,,,51550,"Khatfa feuille de brick, préemballée","Khatfa brick pastry, pre-packaged",283,-,7,59,"1,5",2,-,"3,25",-,-,-,-,-,-,-
1140,3,305,30502,,,96778,Pâte à pizza cuite,Baked pizza dough,321,"25,2","7,75","55,3","7,1","3,3",0.35,"1,7",22,"0,6",16,-,0.25,"25,8","0,019"
1141,4,401,0,"viandes, œufs, poissons et assimilés",viandes cuites,6584,"Viande blanche, cuite (aliment moyen)","White meat, cooked (medium food)",173,"64,2","28,1","0,26","6,55","0,0019","91,8","0,17","9,43","0,84","31,3","0,29","0,81","7,74","0,61"
1142,4,401,0,"viandes, œufs, poissons et assimilés",viandes cuites,6585,"Viande rouge, cuite (aliment moyen)","Red meat, cooked (medium food)",195,"62,6",26,"0,027","10,1",nan,"76,7","0,22","11,8","2,84","28,3","0,094",nan,"9,44","2,31"
1143,4,401,0,"viandes, œufs, poissons et assimilés",viandes cuites,6999,Viande cuite (aliment moyen),Cooked meat (medium food),182,"63,5","27,2","0,24","8,04","0,011","85,8","0,2","10,4","1,69","30,1","0,22","0,69","8,38","1,31"
1144,4,401,0,"viandes, œufs, poissons et assimilés",viandes cuites,36900,"Volaille, cuite (aliment moyen)","Poultry, cooked (medium food)",166,"65,5","27,6","0,28","5,96","0,0022","99,3","0,24","8,45","1,05",33,"0,24","1,15","8,1","0,58"
1145,4,401,40101,"viandes, œufs, poissons et assimilés",viandes cuites,6100,"Boeuf, entrecôte, partie maigre, grillée/poêlée","Beef, rib steak, lean part, grilled/pan-fried",198,"62,3","25,5",0.05,"10,7",0,45,"0,15",12,"2,55",23,"0,1",0,6,"1,85"
1146,4,401,40101,"viandes, œufs, poissons et assimilés",viandes cuites,6101,"Boeuf, braisé","Beef, braised",240,"55,7","32,1",0,"12,4",-,-,"0,15",-,"5,9","24,3",-,-,-,-
1147,4,401,40101,"viandes, œufs, poissons et assimilés",viandes cuites,6104,"Boeuf, gîte à la noix, cuit","Beef, knuckle, cooked",102,-,21,"0,2","1,9",-,-,-,-,-,-,-,-,-,-
1148,4,401,40101,"viandes, œufs, poissons et assimilés",viandes cuites,6105,"Boeuf, faux-filet, rôti/cuit au four","Beef, sirloin, roasted/baked",194,62,"28,8",traces,"8,71",-,-,-,-,"2,41",-,-,-,-,"1,19"
1149,4,401,40101,"viandes, œufs, poissons et assimilés",viandes cuites,6110,"Boeuf, faux-filet, grillé/poêlé","Beef, sirloin, grilled/pan-fried",182,"64,3","27,1",0,"8,17",0,60,"0,14",20,"2,26",22,"0,2",0,8,"1,19"
1150,4,401,40101,"viandes, œufs, poissons et assimilés",viandes cuites,6123,"Boeuf, plat de côtes, braisé","Beef, short ribs, braised",269,"48,9","37,3",0,"13,3",0,66,"0,13",12,"1,41",15,"0,7",0,5,"2,57"
1151,4,401,40101,"viandes, œufs, poissons et assimilés",viandes cuites,6131,"Boeuf, hampe, grillée/poêlée","Beef, flank, grilled/sauteed",174,"67,6","21,6",traces,"9,76",-,-,-,-,"3,79",-,-,-,-,"4,6"
1152,4,401,40101,"viandes, œufs, poissons et assimilés",viandes cuites,6141,"Boeuf, joue, braisée ou bouillie","Beef, cheek, braised or boiled",236,"52,9","39,2",traces,"8,82",-,-,-,-,"2,04",-,-,-,-,"7,23"
1153,4,401,40101,"viandes, œufs, poissons et assimilés",viandes cuites,6151,"Boeuf, jarret, bouilli/cuit à l'eau","Beef, shank, boiled/ cooked in water",161,-,31,traces,"4,1",-,50,-,-,"3,9",-,-,-,-,"1,2"
1154,4,401,40101,"viandes, œufs, poissons et assimilés",viandes cuites,6161,"Boeuf, tende de tranche, grillée/poêlée","Beef, flank steak, grilled/pan-fried",141,"68,5","28,7",traces,"2,92",-,-,-,-,"2,75",-,-,-,-,"1,16"
1155,4,401,40101,"viandes, œufs, poissons et assimilés",viandes cuites,6162,"Boeuf, tende de tranche, rôtie/cuite au four","Beef, flank steak, roasted/baked",146,"67,4","29,8",traces,"3,03",-,-,-,-,"2,93",-,-,-,-,"1,16"
1156,4,401,40101,"viandes, œufs, poissons et assimilés",viandes cuites,6200,"Boeuf, steak ou bifteck, grillé","Beef, steak or beefsteak, grilled",128,"69,1","27,6",traces,"1,95",-,"91,3","0,16","7,07","2,21","28,9",-,-,-,"2,7"
1157,4,401,40101,"viandes, œufs, poissons et assimilés",viandes cuites,6205,"Boeuf, onglet, grillé","Beef, flank steak, grilled",171,-,23,traces,"8,8",-,76,-,-,4,-,-,-,-,"3,9"
1158,4,401,40101,"viandes, œufs, poissons et assimilés",viandes cuites,6207,"Boeuf, rumsteck, grillé","Beef, rump steak, grilled",123,-,25,traces,"2,5",-,35,-,-,"2,9",-,-,-,-,"1,5"
1159,4,401,40101,"viandes, œufs, poissons et assimilés",viandes cuites,6208,"Boeuf, boule de macreuse, grillée/poêlée","Beef, chuck eye, grilled/sauteed",144,"68,8","26,7",traces,"4,11",-,-,-,-,"2,86",-,-,-,-,"1,89"
1160,4,401,40101,"viandes, œufs, poissons et assimilés",viandes cuites,6210,"Boeuf, rosbif, rôti/cuit au four","Beef, roast beef, roasted/baked",117,"72,5","21,9","0,3","3,16",-,"18,1",0.05,"10,1","3,1",32,0,-,"9,1","1,3"
1161,4,401,40101,"viandes, œufs, poissons et assimilés",viandes cuites,6211,"Boeuf, bavette d'aloyau, grillée/poêlée","Beef, flank steak, grilled/pan-fried",162,"67,8",25,traces,"6,94",-,53,-,-,"3,38","24,8",-,-,-,"3,12"
1162,4,401,40101,"viandes, œufs, poissons et assimilés",viandes cuites,6214,"Boeuf, boule de macreuse, rôtie/cuite au four","Beef, chuck roll, roasted/baked",147,"68,2","27,3",traces,"4,2",-,-,-,-,"3,03",-,-,-,-,"1,89"
1163,4,401,40101,"viandes, œufs, poissons et assimilés",viandes cuites,6230,"Boeuf, à bourguignon ou pot-au-feu, cuit","Beef, Burgundy style or pot-au-feu, cooked",172,"59,4",34,traces,"4,05",-,75,"0,15",-,"4,3",-,-,-,"4,5","1,2"
1164,4,401,40101,"viandes, œufs, poissons et assimilés",viandes cuites,6241,"Boeuf, collier, braisé","Beef, neck, braised",184,-,33,traces,"5,8",-,59,-,-,"4,5",-,-,-,-,"1,9"
1165,4,401,40101,"viandes, œufs, poissons et assimilés",viandes cuites,6251,"Boeuf, steak haché 5% MG, cuit","Beef, ground steak 5% fat, cooked",155,"68,9","25,5",0,"5,85",0,88,"0,16",7,"2,83",22,0,0,7,"2,47"
1166,4,401,40101,"viandes, œufs, poissons et assimilés",viandes cuites,6253,"Boeuf, steak haché 10% MG, cuit","Beef, ground steak 10% fat, cooked",210,"61,2","26,1",0,"11,8",0,88,"0,17",13,"2,71",22,0,0,8,"2,56"
1167,4,401,40101,"viandes, œufs, poissons et assimilés",viandes cuites,6255,"Boeuf, steak haché 15% MG, cuit","Beef, ground steak 15% fat, cooked",239,"59,1","23,6",0,"16,1",0,"76,3","0,21",15,"2,6","29,5",0,0,9,"2,3"
1168,4,401,40101,"viandes, œufs, poissons et assimilés",viandes cuites,6257,"Boeuf, steak haché 20% MG, cuit","Beef, ground steak 20% fat, cooked",265,"56,7",23,"0,14","19,2",0,"76,4","0,19",24,"2,48",20,0,0,"27,4","3,31"
1169,4,401,40101,"viandes, œufs, poissons et assimilés",viandes cuites,6259,"Boeuf, steak haché, cuit (aliment moyen)","Beef, ground steak, cooked (medium food)",231,60,"23,8","0,0018","15,1",0,"77,5","0,21","14,3","2,62","28,6",0,0,"9,04","2,33"
1170,4,401,40101,"viandes, œufs, poissons et assimilés",viandes cuites,6271,"Boeuf, paleron, braisé ou bouilli","Beef, chuck, braised or boiled",251,"51,8","36,8","0,2","11,4",0,113,"0,17",14,"1,63",22,"0,1",0,8,"2,77"
1171,4,401,40101,"viandes, œufs, poissons et assimilés",viandes cuites,6310,"Boeuf, queue, bouillie/cuite à l'eau","Beef, tail, boiled/cooked in water",196,-,28,traces,"9,3",-,82,-,-,"2,9",-,-,-,-,"1,1"
1172,4,401,40101,"viandes, œufs, poissons et assimilés",viandes cuites,6511,"Veau, côte, grillée/poêlée","Veal, rib, grilled/sauteed",156,"69,4","25,1",0,"6,24",-,"89,5","0,25",29,"1,3","22,5",0.25,0.5,10.0,"2,82"
1173,4,401,40101,"viandes, œufs, poissons et assimilés",viandes cuites,6512,"Veau, carré, sauté/poêlé","Veal, rack, sautéed/pan-fried",171,-,28,traces,"6,6",-,94,-,-,1,-,-,-,-,"1,7"
1174,4,401,40101,"viandes, œufs, poissons et assimilés",viandes cuites,6520,"Veau, escalope, cuite","Veal, escalope, cooked",147,65,31,traces,"2,5",-,75,"0,15","10,8",1,"29,5",-,-,-,2
1175,4,401,40101,"viandes, œufs, poissons et assimilés",viandes cuites,6523,"Veau, noix, grillée/poêlée","Veal, loin, grilled/sauteed",147,"67,2","29,1",traces,"3,44",-,-,-,-,"0,92",-,-,-,-,"2,08"
1176,4,401,40101,"viandes, œufs, poissons et assimilés",viandes cuites,6524,"Veau, noix, rôtie","Veal, round, roasted",147,"67,2","29,1",traces,"3,44",-,-,-,-,"0,73",-,-,-,-,"2,08"
1177,4,401,40101,"viandes, œufs, poissons et assimilés",viandes cuites,6531,"Veau, filet, rôti/cuit au four","Veal, tenderloin, roasted/baked",201,"60,7","23,4","0,5","11,7",0,103,"0,23",19,"0,87",25,0,0,15,"1,24"
1178,4,401,40101,"viandes, œufs, poissons et assimilés",viandes cuites,6551,"Veau, rôti, cuit","Veal, roasted, cooked",143,67,"28,1",0,"3,39",-,103,"0,17",6,"0,9",28,-,0,16,"1,18"
1179,4,401,40101,"viandes, œufs, poissons et assimilés",viandes cuites,6562,"Veau, épaule, grillée/poêlée","Veal, shoulder, grilled/sauteed",166,"66,5","27,6",traces,"6,17",-,-,-,-,"1,16",-,-,-,-,"2,69"
1180,4,401,40101,"viandes, œufs, poissons et assimilés",viandes cuites,6563,"Veau, épaule, braisée ou bouillie","Veal, shoulder, braised or boiled",219,"55,9","36,4",traces,"8,14",-,-,-,-,"0,74",-,-,-,-,"2,69"
1181,4,401,40101,"viandes, œufs, poissons et assimilés",viandes cuites,6564,"Veau, viande, cuite (aliment moyen)","Veal, meat, cooked (medium food)",169,"63,7",29,"0,74","5,55",nan,"87,9","0,25","14,9","0,95",27,nan,nan,nan,"1,92"
1182,4,401,40101,"viandes, œufs, poissons et assimilés",viandes cuites,6581,"Veau, jarret, braisé ou bouilli","Veal, shank, braised or boiled",207,"56,7","37,4",traces,"6,43",-,84,-,-,"0,77",-,-,-,-,"2,3"
1183,4,401,40101,"viandes, œufs, poissons et assimilés",viandes cuites,6582,"Veau, tête, bouillie/cuite à l'eau","Veal, head, boiled/cooked in water",187,-,21,traces,"11,4",-,102,-,-,"0,7",-,-,-,-,"2,3"
1184,4,401,40101,"viandes, œufs, poissons et assimilés",viandes cuites,6591,"Veau, collier, braisé ou bouilli","Veal, neck, braised or boiled",233,"53,9","34,9",traces,"10,4",-,79,-,-,"0,65",-,-,-,-,"2,01"
1185,4,401,40102,"viandes, œufs, poissons et assimilés",viandes cuites,28007,"Porc, longe, cuite","Pork, loin, cooked",240,"57,5","27,1",0,"14,7",0,82,"0,15",19,"0,99",26,1,"0,6",6,"0,71"
1186,4,401,40102,"viandes, œufs, poissons et assimilés",viandes cuites,28009,"Porc, palette, crue","Pork, shoulder, raw",208,"63,4","24,8",traces,"12,1",-,"71,1","0,18",15,"1,2",24,0.25,-,2.5,"1,44"
1187,4,401,40102,"viandes, œufs, poissons et assimilés",viandes cuites,28010,"Porc, épaule, cuite","Pork, shoulder, cooked",253,"54,7",30,0,"14,8",0,104,"0,12",18,"1,58",20,1,"0,6",5,"0,58"
1188,4,401,40102,"viandes, œufs, poissons et assimilés",viandes cuites,28101,"Porc, côte, grillée","Pork, rib, grilled",211,"58,9","29,6",0,"10,3",-,"82,4","0,14","7,3","0,7",29,"0,43",0.25,"10,1","0,66"
1189,4,401,40102,"viandes, œufs, poissons et assimilés",viandes cuites,28103,"Porc, rouelle de jambon, cuite","Pork, ham shank, cooked",266,"48,6","36,9",traces,"13,1",-,-,"0,18",-,"1,7",-,-,-,-,-
1190,4,401,40102,"viandes, œufs, poissons et assimilés",viandes cuites,28105,"Porc, carré, cuit","Pork, rack, cooked",206,"57,5","34,1","0,6","7,45",0,"76,3","0,097",-,"0,89",-,-,-,-,"0,43"
1191,4,401,40102,"viandes, œufs, poissons et assimilés",viandes cuites,28202,"Porc, filet, maigre, en rôti, cuit","Pork, fillet, lean, roasted, cooked",198,"59,7","28,3",0,"9,39",0,"83,5","0,15","5,5","1,29","32,5",0.25,1,"27,1","0,79"
1192,4,401,40102,"viandes, œufs, poissons et assimilés",viandes cuites,28203,"Porc, filet mignon, cuit","Pork, tenderloin, cooked",168,-,"26,1",traces,"7,1",-,"78,6","0,13","7,27","1,1","24,6",-,-,-,"1,02"
1193,4,401,40102,"viandes, œufs, poissons et assimilés",viandes cuites,28205,"Porc, viande, cuite (aliment moyen)","Pork, meat, cooked (medium food)",205,"59,3","29,1","0,24","9,78",nan,78,"0,12","10,1","0,87","28,5","0,51","0,27","7,15","0,59"
1194,4,401,40102,"viandes, œufs, poissons et assimilés",viandes cuites,28301,"Porc, rôti, cuit","Pork, roasted, cooked",163,"63,8","30,5","0,65","4,31",0,"65,5","0,081","6,97","0,64","32,6","0,5",0,0,"0,33"
1195,4,401,40102,"viandes, œufs, poissons et assimilés",viandes cuites,28401,"Porc, travers, braisé","Pork, ribs, braised",333,"49,4","23,1","0,13","26,6",0,"98,1","0,12","30,4","1,2",18,0.25,"0,56","21,9","0,67"
1196,4,401,40102,"viandes, œufs, poissons et assimilés",viandes cuites,28451,"Porc, échine, rôtie/cuite au four","Pork, shoulder, roasted/baked",295,"51,5","26,2",0.05,"21,2",0,"58,4","0,15",18,"1,09",28,"0,7","0,6",1,"0,88"
1197,4,401,40102,"viandes, œufs, poissons et assimilés",viandes cuites,28461,"Porc, escalope de jambon, cuite","Pork, ham escalope, cooked",200,-,36,traces,"6,2",-,"99,6","0,19","6,77","0,87","35,4",-,-,-,"1,12"
1198,4,401,40103,"viandes, œufs, poissons et assimilés",viandes cuites,36004,"Poulet, cuisse, viande et peau, rôtie/cuite au four","Chicken, thigh, meat and skin, roasted/baked",213,"62,2","25,9",2,"11,3",0,122,"0,23","14,6","1,2","25,1",0.25,3,"5,33","0,42"
1199,4,401,40103,"viandes, œufs, poissons et assimilés",viandes cuites,36005,"Poulet, viande et peau, rôti/cuit au four","Chicken, meat and skin, roasted/baked",213,"59,7","28,9","2,1","9,88",0,117,"0,4","19,4","0,68","39,6","1,5",0,5,"0,52"
1200,4,401,40103,"viandes, œufs, poissons et assimilés",viandes cuites,36006,"Poulet, cuisse, viande, rôti/cuit au four","Chicken, thigh, meat, roasted/baked",171,"66,9","24,8",0,"8,03",0,112,"0,26","11,6","1,2","22,6","0,13",0,"5,8","0,36"
1201,4,401,40103,"viandes, œufs, poissons et assimilés",viandes cuites,36018,"Poulet, filet, sans peau, sauté/poêlé","Chicken, fillet, skinless, sautéed/fried",141,"67,5","30,1",0,2,traces,"85,9","0,14","4,7","0,39",37,0.125,"1,43","9,55","0,18"
1202,4,401,40103,"viandes, œufs, poissons et assimilés",viandes cuites,36030,"Poulet, cuisse, viande, bouilli/cuit à l'eau","Chicken, thigh, meat, boiled/poached",188,"64,3","24,8","0,7","9,52",0,133,"0,23","5,8","1,2","26,2",0.25,"2,2","7,5","0,49"
1203,4,401,40103,"viandes, œufs, poissons et assimilés",viandes cuites,36031,"Poulet, cuisse, viande et peau, bouilli/cuit à l'eau","Chicken, thigh, meat and skin, boiled/cooked in water",188,"64,1","26,1",0.275,"9,1",0.1,127,"0,18",15,"0,96",23,0.125,0.25,"16,3","0,39"
1204,4,401,40103,"viandes, œufs, poissons et assimilés",viandes cuites,36032,"Poulet, poitrine, viande et peau, rôti/cuit au four","Chicken, breast, meat and skin, roasted/baked",189,"62,4","29,8",0,"7,78",0,84,"0,18",14,"1,07",27,"0,1",0,4,"0,32"
1205,4,401,40103,"viandes, œufs, poissons et assimilés",viandes cuites,36033,"Poulet, aile, viande et peau, rôti/cuit au four","Chicken, wing, meat and skin, roasted/baked",247,"59,4","23,8",0,"16,9",0,141,"0,25",18,"0,84",19,"0,2",0,9,"0,35"
1206,4,401,40103,"viandes, œufs, poissons et assimilés",viandes cuites,36041,"Poulet, filet, sans peau, sauté/poêlé, bio","Chicken, fillet, skinless, sautéed/fried, organic",144,"67,5","31,1",0,"1,8",traces,"66,9","0,12","4,5","0,36",34,"0,43",0.25,"8,97","0,19"
1207,4,401,40104,"viandes, œufs, poissons et assimilés",viandes cuites,36302,"Dinde, viande, rôtie/cuite au four","Turkey, meat, roasted/baked",151,"66,7","29,1",0,"3,84",0,101,"0,25","9,66","1,14","44,3","0,3",0,9,"0,94"
1208,4,401,40104,"viandes, œufs, poissons et assimilés",viandes cuites,36306,"Dinde, escalope, sautée/poêlée","Turkey, escalope, sautéed/fried",124,"66,3","28,5",0,"1,09",-,"72,5","0,16","5,42","0,49","44,4",0.25,"0,75",-,"0,61"
1209,4,401,40104,"viandes, œufs, poissons et assimilés",viandes cuites,36308,"Dinde, escalope, rôtie/cuite au four","Turkey, escalope, roasted/baked",128,"67,9","24,6","0,5","3,04",0,80,"0,25",9,"0,57",32,"0,3",0,9,"0,39"
1210,4,401,40105,"viandes, œufs, poissons et assimilés",viandes cuites,21501,"Agneau, côtelette, grillée","Lamb, chop, grilled",240,58,"25,7",traces,"15,2",-,"48,9","0,31","19,7",-,"20,1",-,-,-,"2,8"
1211,4,401,40105,"viandes, œufs, poissons et assimilés",viandes cuites,21503,"Agneau, gigot, rôti/cuit au four","Lamb, leg, roasted/baked",169,"65,9","26,8",0,"6,85",0,"97,6","0,19","21,8","1,4","30,7",-,0,17,"1,88"
1212,4,401,40105,"viandes, œufs, poissons et assimilés",viandes cuites,21506,"Agneau, épaule, rôtie/cuite au four","Lamb, shoulder, roasted/baked",252,"53,7","30,5",0.05,"14,5",0,"99,8","0,24","8,8","2,2","25,4",0.25,"6,9","24,2","2,72"
1213,4,401,40105,"viandes, œufs, poissons et assimilés",viandes cuites,21507,"Agneau, épaule, maigre, rôtie/cuite au four","Lamb, shoulder, lean, roasted/baked",197,"63,3","24,9",0,"10,8",0,87,"0,17",19,"2,13",25,"0,1",0,25,"2,7"
1214,4,401,40105,"viandes, œufs, poissons et assimilés",viandes cuites,21508,"Agneau, collier, braisé ou bouilli","Lamb, neck, braised or boiled",365,"40,6","33,6",traces,"25,6",-,93,-,-,"0,66",-,-,-,-,"2,06"
1215,4,401,40105,"viandes, œufs, poissons et assimilés",viandes cuites,21509,"Agneau, côte filet, grillée/poêlée","Lamb, loin chop, grilled/pan-fried",157,"67,7","26,3",traces,"5,78",-,86,-,-,"1,27",-,-,-,-,"1,22"
1216,4,401,40105,"viandes, œufs, poissons et assimilés",viandes cuites,21512,"Agneau, côte première, grillée/poêlée","Lamb, prime rib, grilled/pan-fried",185,"64,1","26,1",0,"9,01",-,90,"0,18",22,"1,27",20,-,0,15,"1,38"
1217,4,401,40105,"viandes, œufs, poissons et assimilés",viandes cuites,21513,"Agneau, selle, partie maigre, rôtie/cuite au four","Lamb, saddle, lean part, roasted/baked",153,"68,3","26,1",0,"5,45",0,91,"0,16",18,"1,21",23,"0,1",0,19,"1,53"
1218,4,401,40105,"viandes, œufs, poissons et assimilés",viandes cuites,21518,"Agneau, gigot, grillé/poêlé","Lamb, leg, grilled/pan-fried",174,"64,8","27,6",traces,"7,08",-,-,-,-,"1,51",-,-,-,-,"1,88"
1219,4,401,40105,"viandes, œufs, poissons et assimilés",viandes cuites,21519,"Agneau, gigot, braisé","Lamb, leg, braised",222,"55,2","35,2",traces,"9,03",-,-,-,-,"0,97",-,-,-,-,"1,88"
1220,4,401,40105,"viandes, œufs, poissons et assimilés",viandes cuites,21520,"Agneau, selle, partie maigre, grillée/poêlée","Lamb, saddle, lean part, grilled/pan-fried",153,"68,3","26,1",traces,"5,45",-,-,-,-,"1,28",-,-,-,-,"1,53"
